房名信息,地点,房屋情况,房源情况,所在地区,关注/发布时间,价格（万）,单价
力高花园大4房，大门前面是天虹，看房有钥匙,力高君御国际 , | 4室2厅 | 88.72平米 | 南 | 毛坯,中楼层(共35层)2016年建板塔结合  -  ,坪山,29人关注 / 9个月以前发布,345,单价38887元/平米
本周必卖：阳光精装小户型，总价低，地铁口，诚意卖,阳光天地家园 , | 1室0厅 | 26.82平米 | 南 北 | 精装,低楼层(共31层)2004年建塔楼  -  ,翠竹,2人关注 / 17天以前发布,305,单价113722元/平米
中海怡美双跑四房 满五唯一税费少 看房方便,中海怡美山庄 , | 4室2厅 | 91.63平米 | 北 | 简装,中楼层(共8层)2005年建板塔结合  -  ,横岗,30人关注 / 6个月以前发布,340,单价37106元/平米
高楼层  视野开阔  地铁口物业,绿洲丰和 , | 2室1厅 | 43.63平米 | 西北 | 精装,高楼层(共30层)2005年建板塔结合  -  ,石厦,39人关注 / 3个月以前发布,425,单价97411元/平米
石芽岭 健康花城 精装三房 东南向看花园 视野采光好,宇宏健康花城 , | 3室1厅 | 89平米 | 东 | 精装,高楼层(共33层)2016年建板塔结合  -  ,布吉石芽岭,9人关注 / 1个月以前发布,470,单价52809元/平米
红本在手，户型方正，使用率高。,南溪新苑 , | 3室2厅 | 108.41平米 | 东 | 简装,低楼层(共20层)2006年建板塔结合  -  ,新洲,6人关注 / 31天以前发布,596,单价54977元/平米
金色年华家园三房，满两年，红本，朝南,金色年华家园 , | 3室1厅 | 36.48平米 | 南 | 精装,中楼层(共26层)2005年建板塔结合  -  ,莲塘,29人关注 / 一年前发布,285,单价78125元/平米
擎天华庭 精装三房 满2年税费少,擎天华庭 , | 3室1厅 | 62.33平米 | 西北 | 精装,低楼层(共44层)2003年建板塔结合  -  ,景田,32人关注 / 9个月以前发布,480,单价77010元/平米
弘雅正规大三房出售  看房方便 业主诚心出售 看房方便,弘雅花园雅兰亭四期 , | 3室2厅 | 98.92平米 | 西南 | 精装,中楼层(共11层)2000年建板塔结合  -  ,新安,10人关注 / 4个月以前发布,520,单价52568元/平米
坪洲地铁口、3房2卫厅出阳台方正精装三房,宏发前城 , | 3室2厅 | 89.06平米 | 西北 | 精装,中楼层(共40层)2017年建板塔结合  -  ,西乡,81人关注 / 2个月以前发布,640,单价71862元/平米
布吉大芬优质三房  东方半岛小区，满两年,东方半岛花园A区 , | 3室1厅 | 85.34平米 | 东南 | 简装,中楼层(共11层)2000年建板塔结合  -  ,布吉大芬,45人关注 / 2个月以前发布,282,单价33045元/平米
5号线塘朗地铁口，高档新小区，满三年，诚心出售。,宝能城 , | 3室1厅 | 87.31平米 | 西南 | 精装,低楼层(共45层)2017年建塔楼  -  ,大学城,11人关注 / 1个月以前发布,930,单价106518元/平米
满五唯一，采光通透，看海景，正南向，精装修,南海玫瑰花园二期 , | 2室1厅 | 82.31平米 | 南 | 精装,低楼层(共18层)2005年建板楼  -  ,蛇口,13人关注 / 5个月以前发布,800,单价97194元/平米
科学馆地铁物业，杰恩大厦大三房，业主诚卖,杰恩大厦 , | 3室1厅 | 102.29平米 | 南 | 精装,高楼层(共24层)1994年建板塔结合  -  ,华强南,13人关注 / 4个月以前发布,468,单价45753元/平米
梧桐山畔 万科物业  大三房 精美新装修 拎包入住,万科东方尊峪 , | 3室2厅 | 124.81平米 | 西北 | 精装,高楼层(共24层)2007年建板塔结合  -  ,莲塘,5人关注 / 27天以前发布,750,单价60092元/平米
此房红本在手全新精装 西南向通风采光很好 业主诚意售,鸿隆广场 , | 2室2厅 | 47.6平米 | 西南 | 精装,高楼层(共32层)2006年建塔楼  -  ,西乡,14人关注 / 10天以前发布,318,单价66807元/平米
海滨假日 复式两房 装修保养好 诚心出售,海滨假日 , | 2室2厅 | 33.19平米 | 北 | 精装,低楼层(共19层)2008年建板塔结合  -  ,盐田港,229人关注 / 9个月以前发布,178,单价53631元/平米
中粮大悦城灵芝地铁口上 的小户型,都市翠海华苑 , | 1室0厅 | 21.95平米 | 西北 | 简装,低楼层(共22层)2005年建板塔结合  -  ,新安,20人关注 / 7个月以前发布,272,单价123918元/平米
龙华 招商澜园 精装修两房  看花园 出门湿地公园,招商澜园 , | 2室1厅 | 65.93平米 | 南 | 精装,中楼层(共17层)2010年建板塔结合  -  ,观澜,32人关注 / 3个月以前发布,305,单价46262元/平米
精装大四房，高层通透看湖景，仅需一个指标，好房必卖,首地容御 , | 4室2厅 | 155.67平米 | 南 | 精装,高楼层(共32层)2011年建板塔结合  -  ,华侨城,5人关注 / 1个月以前发布,1449,单价93082元/平米
粤宝花园 电梯 大3房 精装修,粤宝花园 , | 3室1厅 | 91.32平米 | 北 | 简装,中楼层(共12层)2001年建板塔结合  -  ,布吉街,16人关注 / 4个月以前发布,310,单价33947元/平米
此房满两年，红本在手，高楼层采光好，看房提前约。,合泰御景翠峰 , | 2室1厅 | 49.48平米 | 东南 | 精装,中楼层(共36层)2016年建板塔结合  -  ,沙头角,21人关注 / 5个月以前发布,240,单价48505元/平米
闹中取静舒适实用三房，南北通风 方正实用,御海新苑 , | 3室2厅 | 68.07平米 | 东南 西北 | 精装,中楼层(共7层)2002年建板塔结合  -  ,前海,15人关注 / 4个月以前发布,505,单价74189元/平米
水榭春天单证四房，客厅朝南看花园，精装修，满两年,莱蒙水榭春天二期 , | 4室1厅 | 118.18平米 | 南 | 精装,中楼层(共33层)2011年建塔楼  -  ,红山,13人关注 / 6个月以前发布,930,单价78694元/平米
富瑰园电梯正规一房一厅   户型方正  居家安静,富瑰园 , | 1室1厅 | 47.91平米 | 东南 | 简装,高楼层(共12层)2000年建塔楼  -  ,西乡,49人关注 / 3个月以前发布,265,单价55313元/平米
满五唯一  中高楼层 带入户 装修保养好 *三房,里仁府 , | 2室1厅 | 88.22平米 | 东南 | 精装,高楼层(共25层)2004年建板塔结合  -  ,翻身,83人关注 / 3个月以前发布,420,单价47609元/平米
宝安新安雅景居三房一卫东南向高楼层通风采光佳,雅景居 , | 3室1厅 | 87.9平米 | 东南 | 精装,中楼层(共8层)2000年建板塔结合  -  ,新安,23人关注 / 3个月以前发布,450,单价51195元/平米
锦绣待拆迁地铁两房，品质精装，住家舒适！,锦绣花园 , | 2室1厅 | 43.5平米 | 南 | 精装,中楼层(共7层)1995年建板塔结合  -  ,西乡,24人关注 / 22天以前发布,216,单价49656元/平米
龙岗、坂田太阳雨家园精装4房，满两年业主诚心出售,太阳雨家园 , | 4室1厅 | 86.16平米 | 南 | 精装,高楼层(共29层)2016年建板塔结合  -  ,坂田,18人关注 / 1个月以前发布,490,单价56871元/平米
长怡花园优质三房 红本满五 业主诚卖价到即签,长怡花园 , | 3室1厅 | 103.48平米 | 东北 | 精装,低楼层(共29层)2000年建板塔结合  -  ,百花,5人关注 / 4个月以前发布,980,单价94705元/平米
业主诚售 朝南看花园精装两房 满两年红本费用少,百仕达花园二期 , | 2室1厅 | 73.5平米 | 东南 | 精装,中楼层(共18层)2000年建板塔结合  -  ,百仕达,15人关注 / 1个月以前发布,455,单价61905元/平米
深大地铁口 南外未用 满2年 看房有钥匙,科苑居 , | 1室1厅 | 48.95平米 | 西 | 简装,高楼层(共16层)1992年建板塔结合  -  ,科技园,9人关注 / 30天以前发布,315,单价64352元/平米
西乡棚改利好 首付100万买三代同堂精装2+1房,双龙花园 , | 2室1厅 | 70.7平米 | 东南 | 精装,高楼层(共6层)1995年建板塔结合  -  ,西乡,43人关注 / 1个月以前发布,325,单价45969元/平米
南山地铁口楼上 标准三房业主换房急卖 最为优质,万象新园 , | 3室1厅 | 87.71平米 | 西北 | 精装,中楼层(共33层)2002年建板塔结合  -  ,南山中心,63人关注 / 4个月以前发布,540,单价61567元/平米
70年产权，扩天井双阳台，4.9米层高复式，带燃气。,嘉葆润金座 , | 2室1厅 | 35.75平米 | 北 | 精装,中楼层(共20层)2013年建板塔结合  -  ,新洲,80人关注 / 一年前发布,300,单价83917元/平米
满五年，居住安静，步行深圳东站300米,布吉中心广场 , | 2室2厅 | 91.14平米 | 西 | 简装,中楼层(共22层)2001年建板塔结合  -  ,布吉街,71人关注 / 23天以前发布,255,单价27979元/平米
德福花园，满五唯一，精装修，楼层好,德福花园 , | 2室2厅 | 70.87平米 | 西 | 精装,中楼层(共7层)1998年建板塔结合  -  ,布吉街,6人关注 / 4个月以前发布,275,单价38804元/平米
朝南看花园 大2房 满五唯一 税费少,信义锦绣花园 , | 2室2厅 | 73.31平米 | 南 | 精装,中楼层(共18层)2007年建板塔结合  -  ,横岗,19人关注 / 3个月以前发布,320,单价43651元/平米
红本在手，2+1房， 满五年 唯一住宅 看花园，保养好.,珠江旭景佳园 , | 2室2厅 | 73.33平米 | 西北 | 精装,高楼层(共24层)2008年建板塔结合  -  ,坂田,72人关注 / 1个月以前发布,355,单价48412元/平米
位于水贝珠宝商圈，田贝地铁口小户型总价低，楼层好,愉天小区 , | 1室1厅 | 35.04平米 | 西南 南 | 精装,中楼层(共7层)1991年建板塔结合  -  ,翠竹,8人关注 / 1个月以前发布,315,单价89898元/平米
园林式小区房子满两年，朝南向，*三房,百仕达花园二期 , | 2室1厅 | 82平米 | 西南 | 简装,低楼层(共17层)1999年建板塔结合  -  ,百仕达,15人关注 / 3个月以前发布,490,单价59757元/平米
水贝地铁口 洪湖公园200米 水贝珠宝金银座,维富大厦 , | 3室1厅 | 100.45平米 | 南 | 精装,低楼层(共31层)2002年建板塔结合  -  ,布心,37人关注 / 1个月以前发布,360,单价35839元/平米
国企物业  精装三房  满五唯一  视野开阔  居家舒适,瑞泽佳园 , | 3室2厅 | 89.85平米 | 北 | 精装,低楼层(共30层)2013年建板楼  -  ,横岗,5人关注 / 2个月以前发布,350,单价38954元/平米
精装3房带入户 14号线四联站500米 满5年红本 税费少,中海怡美山庄 , | 3室2厅 | 94.99平米 | 东南 | 精装,中楼层(共6层)2004年建板塔结合  -  ,横岗,14人关注 / 19天以前发布,340,单价35794元/平米
前海广场二期 复式精装公寓 3房2卫 新楼三月刚交付,佳兆业前海广场二期 , | 3室1厅 | 73.8平米 | 西北 | 精装,中楼层(共21层)2016年建塔楼  -  ,前海,41人关注 / 3个月以前发布,550,单价74526元/平米
白石洲正规两房，户型方正，诚心出售，满五年,侨城豪苑二期 , | 2室2厅 | 75.65平米 | 北 | 精装,低楼层(共24层)2003年建塔楼  -  ,白石洲,79人关注 / 7个月以前发布,465,单价61468元/平米
阳光明居 精装1房 红本在手 花园小区 安静舒适,阳光明居 , | 1室1厅 | 35平米 | 东 | 简装,中楼层(共11层)2005年建板塔结合  -  ,布心,4人关注 / 2个月以前发布,265,单价75715元/平米
山海四季城一期 精装大三房  高楼层 朝南,鹏广达山海四季城 , | 3室2厅 | 75平米 | 东南 | 简装,中楼层(共40层)2016年建板塔结合  -  ,盐田港,1人关注 / 2个月以前发布,385,单价51334元/平米
锦隆花园 5室2厅 1100万,锦隆花园 , | 5室2厅 | 174.22平米 | 南 | 精装,低楼层(共11层)1999年建板塔结合  -  ,科技园,9人关注 / 2个月以前发布,1100,单价63139元/平米
新上： 稀有户型 新装大三房 正南好景观 红本免个税,城市绿洲花园 , | 3室2厅 | 125.66平米 | 南 | 精装,中楼层(共24层)2001年建板塔结合  -  ,华强北,9人关注 / 1个月以前发布,1200,单价95496元/平米
海珠城高楼层 随时看房 随时签约,海珠城 , | 4室1厅 | 104.79平米 | 南 北 | 精装,高楼层(共22层)1995年建塔楼  -  ,南山中心,5人关注 / 1个月以前发布,705,单价67278元/平米
莲花山旁 景田双地铁口小户型 高楼层 南向 荔外边,缔梦园 , | 1室1厅 | 41.34平米 | 南 | 简装,高楼层(共16层)1999年建板塔结合  -  ,景田,3人关注 / 1个月以前发布,305,单价73779元/平米
前海宝安 满五唯一  东南 厅出阳台,天悦龙庭二期 , | 3室2厅 | 135.19平米 | 东南 | 精装,低楼层(共28层)2005年建塔楼  -  ,宝安中心,8人关注 / 27天以前发布,1080,单价79888元/平米
满五唯一 东南朝向 业主诚心出售！,中粮锦云 , | 3室2厅 | 86.37平米 | 东南 | 精装,低楼层(共31层)2012年建板塔结合  -  ,西乡,17人关注 / 25天以前发布,539,单价62406元/平米
加洲花园 2室2厅 230万,加洲花园 , | 2室2厅 | 59.04平米 | 南 | 简装,高楼层(共8层)2000年建板塔结合  -  ,布吉关,18人关注 / 22天以前发布,230,单价38957元/平米
沃尔玛商圈七里香榭，高使用率2房，免个税可做3房,城投七里香榭 , | 2室2厅 | 74.83平米 | 南 | 简装,高楼层(共11层)2007年建板塔结合  -  ,红山,13人关注 / 1个月以前发布,430,单价57464元/平米
明星楼盘，经典户型，红本在手，精装修，拎包入住。,皇庭世纪 , | 2室1厅 | 56.39平米 | 北 | 精装,中楼层(共32层)2004年建板塔结合  -  ,石厦,143人关注 / 6个月以前发布,450,单价79802元/平米
富通天骏 精致三房 拎包入住 采光阳光都好,富通天骏 , | 3室2厅 | 98.6平米 | 南 | 简装,低楼层(共11层)2003年建板塔结合  -  ,龙华中心,15人关注 / 2个月以前发布,430,单价43611元/平米
精致一房 客厅出阳台 东南朝向,深蓝季节 , | 1室1厅 | 35.58平米 | 东南 | 精装,高楼层(共32层)2007年建塔楼  -  ,后海,9人关注 / 1个月以前发布,315,单价88533元/平米
金地名津 3室2厅 572万,金地名津 , | 3室2厅 | 92平米 | 南 | 精装,高楼层(共32层)2007年建板塔结合  -  ,皇岗,48人关注 / 1个月以前发布,572,单价62174元/平米
楼层高视野好！！经典户型小两房，,荔树人家 , | 2室1厅 | 42.73平米 | 南 | 简装,高楼层(共11层)2001年建塔楼  -  ,新洲,23人关注 / 1个月以前发布,258,单价60380元/平米
山海四季城 三房 厅出阳台 实用面积大 小区环境好,鹏广达山海四季城 , | 3室2厅 | 80.77平米 | 东南 | 精装,高楼层(共40层)2016年建板塔结合  -  ,盐田港,2人关注 / 1个月以前发布,407,单价50390元/平米
小区花园中间位置  中间楼层 采光好 业主自住,丰润花园 , | 2室2厅 | 73.1平米 | 南 | 精装,中楼层(共8层)1994年建板塔结合  -  ,龙华新区,3人关注 / 1个月以前发布,325,单价44460元/平米
看花园通风好，少有放卖，多80平空间，大阳台，物超所,第五大道高发西岸花园一期 , | 3室2厅 | 126.42平米 | 南 | 简装,中楼层(共29层)2007年建板塔结合  -  ,宝安中心,6人关注 / 1个月以前发布,1120,单价88594元/平米
万科精装两房 低于购买价15万出售税费很少 新房未入住,万科时代广场 , | 2室1厅 | 67.47平米 | 东南 | 精装,高楼层(共46层)2017年建板塔结合  -  ,龙岗中心城,87人关注 / 4个月以前发布,235,单价34831元/平米
带南外科华 华润西南向三房 人车分流 停车位充足,华润城润府一期 , | 3室2厅 | 88.6平米 | 西南 | 精装,中楼层(共53层)2016年建塔楼  -  ,科技园,30人关注 / 2个月以前发布,1150,单价129797元/平米
龙岗 汇龙天下花园 一房一厅 诚售,汇龙天下 , | 1室1厅 | 58.42平米 | 东南 | 精装,低楼层(共24层)2011年建板塔结合  -  ,龙岗中心城,31人关注 / 27天以前发布,185,单价31668元/平米
京基东方颐园 2室1厅 500万,京基东方颐园 , | 2室1厅 | 69.49平米 | 西南 | 精装,高楼层(共33层)2009年建塔楼  -  ,螺岭,8人关注 / 27天以前发布,500,单价71953元/平米
房子精装修大两户型方正使用 南向安静 看房方便,恒福花园 , | 2室1厅 | 63.42平米 | 南 | 精装,中楼层(共19层)1995年建板塔结合  -  ,皇岗,13人关注 / 19天以前发布,388,单价61180元/平米
此房高楼层，户型方正，看房方便，小区管理比较好,风格名苑 , | 1室0厅 | 31平米 | 西 | 精装,低楼层(共27层)2006年建板塔结合  -  ,地王,12人关注 / 3个月以前发布,176,单价56775元/平米
中海半山溪谷两房 客厅正出阳台 满两年 欠款少,中海半山溪谷花园 , | 2室2厅 | 73.01平米 | 西南 | 精装,中楼层(共8层)2008年建板塔结合  -  ,盐田港,20人关注 / 4个月以前发布,283,单价38762元/平米
店长推荐：红本税费少业主诚心出售 园林小区住家安静,皇御苑二期 , | 3室2厅 | 86.15平米 | 东北 | 精装,中楼层(共33层)2003年建板塔结合  -  ,皇岗,37人关注 / 2个月以前发布,545,单价63262元/平米
附带87平米天台面积，且已经装修好，正出租当中,绿景山庄 , | 3室2厅 | 93.5平米 | 南 | 精装,高楼层(共8层)1999年建板楼  -  ,布心,10人关注 / 1个月以前发布,410,单价43851元/平米
地铁口，标准一房一厅，户型方正大阳台，采光好,尚书苑 , | 1室1厅 | 40.73平米 | 西北 | 简装,中楼层(共16层)2005年建板塔结合  -  ,梅林,10人关注 / 2个月以前发布,308,单价75620元/平米
观澜 装修价格毛坯卖 500米华润万家 50米内九年教育,奥宸观壹城 , | 2室2厅 | 69.77平米 | 西南 | 毛坯,高楼层(共33层)2015年建板塔结合  -  ,观澜,9人关注 / 1个月以前发布,305,单价43716元/平米
此房费用少 户型方正 看花园 配套成熟 万科的物业,名居广场 , | 3室2厅 | 89.56平米 | 东南 | 精装,高楼层(共31层)2018年建塔楼  -  ,龙岗中心城,2人关注 / 16天以前发布,421,单价47008元/平米
此房客厅出阳台，户型方正。石厦商圈，居家型社区,宝生Midtown , | 2室1厅 | 84.72平米 | 南 | 精装,45层2014年建板塔结合  -  ,石厦,2人关注 / 13天以前发布,890,单价105052元/平米
满五年 正规大四居 高楼层 少许欠款 看大南山风景,恒立心海湾花园 , | 4室2厅 | 147平米 | 东 | 精装,高楼层(共18层)2010年建板塔结合  -  ,前海,24人关注 / 4个月以前发布,1100,单价74830元/平米
中海怡美，精装3房，带花园，红本在手 诚心出售,中海怡美山庄 , | 3室2厅 | 75.86平米 | 南 | 精装,低楼层(共6层)2004年建板塔结合  -  ,横岗,30人关注 / 2个月以前发布,335,单价44161元/平米
桃源居五区小两房 低总价满五唯一 业主诚心卖,桃源居五区 , | 2室1厅 | 46.62平米 | 西 | 简装,中楼层(共6层)2002年建板楼  -  ,桃源居,21人关注 / 27天以前发布,250,单价53626元/平米
安静 看宝民路  朝东北向  光线亮,青春庭园 , | 1室0厅 | 23.99平米 | 东北 | 精装,高楼层(共6层)2003年建板塔结合  -  ,西乡,23人关注 / 4个月以前发布,132,单价55023元/平米
封闭式花园小区，正规两房正南向，价格便宜业主诚心卖,圆龙园 , | 2室1厅 | 83.56平米 | 南 | 精装,中楼层(共23层)2002年建板塔结合  -  ,园岭,8人关注 / 5个月以前发布,786,单价94065元/平米
慢城三期，带入户花园 ，满五年，客厅出阳台,慢城三期 , | 4室2厅 | 87.51平米 | 东南 | 精装,中楼层(共18层)2008年建板塔结合  -  ,布吉石芽岭,16人关注 / 4个月以前发布,435,单价49709元/平米
万家灯火 精装朝南大3房2卫 端户 采光好 单价便宜,万家灯火 , | 3室1厅 | 93.79平米 | 南 | 精装,高楼层(共8层)2003年建板塔结合  -  ,梅林关,58人关注 / 4个月以前发布,364,单价38811元/平米
自贸区旁，地铁口方正三房，诚心出售,前海花园 , | 3室2厅 | 89.82平米 | 南 | 精装,高楼层(共8层)2004年建板塔结合  -  ,前海,94人关注 / 3个月以前发布,585,单价65131元/平米
合正锦湖魅力城，花园社区，精装大两房，采光充足,合正锦湖魅力城 , | 3室2厅 | 82.33平米 | 南 | 精装,中楼层(共31层)2008年建塔楼  -  ,洪湖,14人关注 / 3个月以前发布,500,单价60732元/平米
中间楼层，居家装修，诚心出售，舒适两房,钜建大厦 , | 2室2厅 | 72.74平米 | 南 | 精装,低楼层(共24层)1996年建塔楼  -  ,后海,40人关注 / 1个月以前发布,450,单价61865元/平米
实用大三房 视野开阔 采光通风俱佳 绿化高 近公园宜居,润裕山景豪苑 , | 3室2厅 | 106.59平米 | 东南 | 精装,中楼层(共16层)2002年建板塔结合  -  ,梅林,3人关注 / 1个月以前发布,710,单价66611元/平米
南光捷佳大厦  带阳台单房  满两年红本 业主诚心卖,南光捷佳大厦 , | 1室0厅 | 42.14平米 | 西北 | 简装,低楼层(共34层)2002年建塔楼  -  ,华强南,45人关注 / 1个月以前发布,165,单价39156元/平米
景新花园四房  精装修  业主诚心售房,景新花园 , | 4室2厅 | 96.61平米 | 西南 | 精装,低楼层(共29层)1997年建塔楼  -  ,景田,13人关注 / 1个月以前发布,575,单价59518元/平米
满五年唯一. 地铁口物业 .业主诚心出售,阳光里雅居 , | 2室1厅 | 47.44平米 | 东 | 精装,中楼层(共31层)2013年建板塔结合  -  ,南山中心,11人关注 / 1个月以前发布,450,单价94857元/平米
大两房*回三房作三世同堂幸福之家，实用还不贵,福永花苑 , | 2室2厅 | 84.08平米 | 西南 | 简装,低楼层(共8层)1999年建板塔结合  -  ,福永,68人关注 / 5个月以前发布,295,单价35086元/平米
端头错层复式，婚房精装，两面采光，通透无遮挡,碧海富通城三期 , | 2室1厅 | 50.01平米 | 东北 | 精装,中楼层(共24层)2008年建塔楼  -  ,碧海,28人关注 / 2个月以前发布,400,单价79985元/平米
房型方正 有装修 客厅正出大阳台 配套齐全 双地铁口,菁英趣庭 , | 1室1厅 | 47平米 | 东南 | 简装,低楼层(共24层)2007年建板塔结合  -  ,宝安中心,16人关注 / 1个月以前发布,340,单价72341元/平米
带封闭式花园 离车公庙地铁站C出口200米,泰安轩 , | 1室0厅 | 39.02平米 | 南 | 精装,中楼层(共16层)1999年建板楼  -  ,车公庙,9人关注 / 1个月以前发布,370,单价94824元/平米
11号线南山站 次新小区  阳光里雅居  精装2房  诚心卖,阳光里雅居 , | 2室1厅 | 45.28平米 | 南 | 精装,中楼层(共31层)2013年建板塔结合  -  ,南山中心,3人关注 / 14天以前发布,470,单价103799元/平米
【精】居家两房，红本，满五年不唯一，视野开阔无遮挡,玮鹏花园 , | 2室2厅 | 76.19平米 | 北 | 简装,中楼层(共33层)2002年建塔楼  -  ,华强北,16人关注 / 7个月以前发布,625,单价82032元/平米
2016年的新楼盘，地铁口物业，自带左岭购物商场,绿景虹湾 , | 2室1厅 | 51.85平米 | 东北 | 精装,高楼层(共46层)2015年建板塔结合  -  ,梅林,43人关注 / 3个月以前发布,438,单价84475元/平米
沙井老中 心地带，出门天虹，万丰医院，市民广场,丽沙花都 , | 3室2厅 | 95.95平米 | 东 | 精装,中楼层(共6层)板塔结合  -  ,沙井,27人关注 / 1个月以前发布,380,单价39604元/平米
凯丰综合楼 小户型一房 双地铁物业 低总价小户型,凯丰花园综合楼 , | 1室0厅 | 31.7平米 | 北 | 简装,中楼层(共7层)1998年建板塔结合  -  ,梅林,16人关注 / 3个月以前发布,138,单价43534元/平米
满两年，自己赎楼，户型方正，朝向东,兴达华府 , | 2室1厅 | 42.35平米 | 东北 | 简装,中楼层(共29层)2009年建塔楼  -  ,西乡,19人关注 / 1个月以前发布,232,单价54782元/平米
福中福花园二期 2室1厅 375万,福中福花园二期 , | 2室1厅 | 65.24平米 | 西南 | 精装,中楼层(共7层)2002年建板楼  -  ,西乡,25人关注 / 1个月以前发布,375,单价57481元/平米
万象天成 1室0厅 109万,万象天成 , | 1室0厅 | 45.16平米 | 东南 | 简装,高楼层(共21层)2010年建板塔结合  -  ,龙岗中心城,20人关注 / 1个月以前发布,109,单价24137元/平米
正规一房一厅，安静，05年小区，地铁口200米,银晖名居 , | 1室1厅 | 37.76平米 | 北 | 简装,高楼层(共19层)2005年建塔楼  -  ,银湖,34人关注 / 31天以前发布,185,单价48994元/平米
精装一房公寓，已改二房，高楼层，视野好,金地龙城中央一期 , | 2室1厅 | 43.02平米 | 西北 | 精装,高楼层(共34层)2016年建板塔结合  -  ,龙岗中心城,88人关注 / 6个月以前发布,108,单价25105元/平米
房子的楼层很好，看花园很安静，独立厨房卫生间。,学子荔园 , | 1室0厅 | 28.2平米 | 北 | 简装,中楼层(共7层)2006年建塔楼  -  ,大学城,20人关注 / 1个月以前发布,180,单价63830元/平米
精美装修 海景大四房 一手业主,御景台雅园 , | 4室1厅 | 87.08平米 | 东南 | 精装,高楼层(共28层)2015年建板塔结合  -  ,盐田港,4人关注 / 12天以前发布,430,单价49380元/平米
南油标准一房，诚意出售，低总价小户型,南油生活B区 , | 1室0厅 | 29.57平米 | 南 | 简装,中楼层(共8层)1988年建塔楼  -  ,后海,8人关注 / 一年前发布,177,单价59858元/平米
麒麟花园三期电梯房 总价低红本在手 精装修业主诚心卖,麒麟花园A区 , | 1室0厅 | 40.59平米 | 北 | 精装,低楼层(共24层)2004年建板塔结合  -  ,南头,3人关注 / 21天以前发布,550,单价135502元/平米
京基一百居家大两房 地铁口物业,京基一百大厦 , | 2室1厅 | 62.96平米 | 南 | 精装,高楼层(共32层)2010年建板塔结合  -  ,地王,27人关注 / 6个月以前发布,490,单价77828元/平米
龙华区金玲花园精装四房，去年新装修好,金玲花园 , | 4室1厅 | 117平米 | 东 | 简装,中楼层(共8层)1995年建板塔结合  -  ,龙华中心,9人关注 / 4个月以前发布,398,单价34018元/平米
鹏广达公园道 舒适小区 新装修三房两卫 高层好景观,山海四季城·公园道 , | 3室2厅 | 79平米 | 东南 | 精装,高楼层(共33层)2016年建板塔结合  -  ,盐田港,11人关注 / 4个月以前发布,405,单价51266元/平米
店长推荐：本周必卖，业主诚心出售，低于市场价双名校,培森大厦 , | 2室1厅 | 52.63平米 | 东南 | 精装,高楼层(共19层)1999年建板塔结合  -  ,东门,22人关注 / 2个月以前发布,220,单价41802元/平米
东悦名轩 厅出阳台  满五唯一  看房随时方便,东悦名轩 , | 1室1厅 | 37.71平米 | 西南 | 精装,高楼层(共33层)2004年建塔楼  -  ,东门,3人关注 / 2个月以前发布,248,单价65766元/平米
次新小区  精装修  住宅三房   少见户型,金汐府 , | 3室1厅 | 60.87平米 | 东南 | 精装,高楼层(共30层)2015年建板塔结合  -  ,龙岗双龙,25人关注 / 1个月以前发布,230,单价37786元/平米
尚峰花园南北4房，看花园看石芽山景，精装高层！,鸿荣源尚峰 , | 4室2厅 | 89.13平米 | 东南 西南 | 精装,高楼层(共32层)2016年建塔楼  -  ,布吉石芽岭,10人关注 / 1个月以前发布,515,单价57781元/平米
大南山脚下东南向大三房，安静不吵主卧看大南山公园,城市山林 , | 3室2厅 | 123.72平米 | 东南 | 简装,中楼层(共21层)2008年建板塔结合  -  ,南山中心,11人关注 / 1个月以前发布,1200,单价96994元/平米
2006年花园 人车分流  安静不临街  花园环境好,英郡年华 , | 2室1厅 | 63.99平米 | 西南 | 精装,低楼层(共18层)2006年建塔楼  -  ,丹竹头,95人关注 / 一年前发布,278,单价43445元/平米
万象天地旁 城市山谷 精装修两房  带大阳台 科华,城市山谷三期 , | 2室1厅 | 64.48平米 | 南 | 精装,低楼层(共9层)2006年建板塔结合  -  ,科技园,7人关注 / 5个月以前发布,650,单价100807元/平米
菁英趣庭 2室1厅 490万,菁英趣庭 , | 2室1厅 | 75.4平米 | 东 | 简装,高楼层(共18层)2007年建板塔结合  -  ,宝安中心,12人关注 / 2个月以前发布,490,单价64987元/平米
华润万象天地商圈  精致两房  诚意出售,朗景园 , | 2室1厅 | 68.97平米 | 南 | 简装,高楼层(共14层)2001年建板塔结合  -  ,科技园,13人关注 / 25天以前发布,550,单价79745元/平米
龙园意境3房  朝南看花园  一手业主,龙园意境 , | 4室2厅 | 88.92平米 | 东南 | 精装,中楼层(共34层)2008年建板塔结合  -  ,布吉石芽岭,9人关注 / 8个月以前发布,395,单价44422元/平米
壹方城旁 双地铁口物业 经典大三房客厅出阳台 无个税,富通好旺角一期 , | 3室1厅 | 102.69平米 | 西南 | 精装,高楼层(共18层)2003年建板塔结合  -  ,宝安中心,9人关注 / 1个月以前发布,700,单价68167元/平米
红本在手满5年安静户型 卧室带大阳台 诚心放售,香山里 , | 3室2厅 | 153.01平米 | 西南 | 精装,低楼层(共33层)2011年建板塔结合  -  ,华侨城,42人关注 / 6个月以前发布,1220,单价79734元/平米
